co_cid,no_agravo,nu_prazo_encerramento
B35,DERMATOFITOSE,0
B91,SEQUELAS DE POLIOMIELITE,0
C00.3,"LABIO SUPERIOR,FACE INTERNA",0
C38.0,CORACAO,0
C69.0,CONJUNTIVA,0
D04.9,"PELE,NAO ESPECIFICADA",0
D86,SARCOIDOSE,0
E32,DOENCAS DO TIMO,0
E55,DEFICIENCIA DE VITAMINA D,0
H26.4,POS-CATARATA,0
I63.8,OUTROS INFARTOS CEREBRAIS,0
I70.9,ATEROSCLEROSE GENERALIZADA E A NAO ESPECIFICADA,0
I89.0,LINFEDEMA NAO CLASSIFICADO EM OUTRA PARTE,0
J39.1,OUTROS ABSCESSOS DA FARINGE,0
K29.0,GASTRITE HEMORRAGICA AGUDA,0
K59.0,CONSTIPACAO,0
N13.4,HIDROURETER,0
N20.0,CALCULOSE DO RIM,0
N64.2,ATROFIA DA MAMA,0
O02.8,OUTROS PRODUTOS ANORMAIS DA CONCEPCAO ESPECIFICADOS,0
O26.9,"AFECCOES LIGADAS A GRAVIDEZ,NAO ESPECIFICADAS",0
O81.1,PARTO POR FORCEPS DA CAVIDADE MEDIANA,0
O90.3,CARDIOMIOPATIA NO PUERPERIO,0
S04,TRAUMATISMO DOS NERVOS CRANIANOS,0
S11,FERIMENTO DO PESCOCO,0
S41.1,FERIMENTO DO BRACO,0
S92.1,FRATURA DO ASTRAGALO,0
V17,CICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO,0
V21,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL,0
V57,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO,0
V58,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM COLISAO,0
V85.4,PESSOA TRAUMATIZADA AO SUBIR OU DESCER DE UM VEICULO A MOTOR ESPECIAL DE CONSTRUCOES,0
V88.7,"PESSOA TRAUMATIZADA EM UMA COLISAO ENTRE OUTROS VEICULOS A MOTOR ESPECIFICADOS,NAO-DE-TRANSITO",0
W19,QUEDA SEM ESPECIFICACAO,0
W19.9,QUEDA SEM ESPECIFICACAO - LOCAL NAO ESPECIFICADO,0
W30,CONTATO COM MAQUINARIA AGRICOLA,0
W32,PROJETIL DE REVOLVER,0
W67,AFOGAMENTO E SUBMERSAO EM PISCINA,0
W78.4,INALACAO DO CONTEUDO GASTRICO - RUA E ESTRADA,0
X12,CONTATO COM OUTROS LIQUIDOS QUENTES,0
X78.9,LESAO AUTOPROVOCADA INTENCIONALMENTE POR OBJETO CORTANTE OU PENETRANTE - LOCAL NAO ESPECIFICADO,0
Y00,AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE,0
Y06,NEGLIGENCIA E ABANDONO,0
Y12,"ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO A NARCOTICOS E A PSICODISLEPTICOS [ALUCINOGENOS] NAO CLASSIFICADOS EM OUTRA PARTE,INTENCAO NAO DETERMINADA",0
Y15.0,"ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO AO ALCOOL,INTENCAO NAO DETERMINADA - RESIDENCIA",0
Y76,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM OBSTETRICIA E EM GINECOLOGIA,ASSOCIADOS A INCIDENTES ADVERSOS",0
Y83.3,INTERVENCAO CIRURGICA COM FORMACAO DE ESTOMA EXTERNO,0
Z48,OUTRO SEGUIMENTO CIRURGICO,0
Z72.0,USO DO TABACO,0
F13,TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SEDATIVOS E HIPNOTICOS,0
K71,DOENCA HEPATICA TOXICA,0
Q32.0,TRAQUEOMALACIA CONGENITA,0
Q63.2,RIM ECTOPICO,0
Q77.0,ACONDROGENESIA,0
R51,CEFALEIA,0
T60.4,RODENTICIDAS,0
X45,ENVENENAMENTO [INTOXICACAO] ACIDENTAL POR E EXPOSICAO AO ALCOOL,0
X65,AUTO-INTOXICACAO VOLUNTARIA POR ALCOOL,0
X85.7,"AGRESSAO POR MEIO DE DROGAS,MEDICAMENTOS E SUBSTANCIAS BIOLOGICAS - FAZENDA",0
Y40.0,PENICILINAS,0
C31.0,SEIO MAXILAR,0
C53.0,ENDOCERVIX,0
D33.3,NERVOS CRANIANOS,0
D48.4,PERITONIO,0
E22,HIPERFUNCAO DA HIPOFISE,0
E65,ADIPOSIDADE LOCALIZADA,0
F38,OUTROS TRANSTORNOS DO HUMOR [AFETIVOS],0
F51.3,SONAMBULISMO,0
H32.8,OUTROS TRANSTORNOS CORIORRETINIANOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
I47.0,ARRITMIA VENTRICULAR POR REENTRADA,0
K29.8,DUODENITE,0
L99.0,AMILOIDOSE CUTANEA (E85.-+),0
M24.7,PROTUSAO DO ACETABULO,0
M40,CIFOSE E LORDOSE,0
M79.1,MIALGIA,0
M91.2,COXA PLANA,0
N30,CISTITE,0
