"co_ocupacao","ds_ocupacao","co_cbo","tp_escolaridade","st_restricao_idade"
2340,"SUPERVISOR DA MANUTENCAO E REPARACAO DE VEICULOS LEVES","910205","4","18"
2341,"SUPERVISOR DA MANUTENCAO E REPARACAO DE VEICULOS PESADOS","910210","4","18"
2342,"SUPERVISOR DE REPAROS LINHAS FERREAS","910905","4","18"
2343,"SUPERVISOR DE MANUTENCAO DE VIAS FERREAS","910910","4","18"
2344,"MECANICO DE MANUTENCAO DE BOMBA INJETORA (EXCETO DE VEICULOS AUTOMOTORES)","911105","3","18"
2345,"MECANICO DE MANUTENCAO DE BOMBAS","911110","3","18"
2346,"MECANICO DE MANUTENCAO DE COMPRESSORES DE AR","911115","3","18"
2347,"MECANICO DE MANUTENCAO DE MOTORES DIESEL (EXCETO DE VEICULOS AUTOMOTORES)","911120","3","18"
2348,"MECANICO DE MANUTENCAO DE REDUTORES","911125","3","18"
2349,"MECANICO DE MANUTENCAO DE TURBINAS (EXCETO DE AERONAVES)","911130","3","18"
2350,"MECANICO DE MANUTENCAO DE TURBOCOMPRESSORES","911135","3","18"
2351,"MECANICO DE MANUTENCAO E INSTALACAO DE APARELHOS DE CLIMATIZACAO E REFRIGERACAO","911205","4","18"
2352,"MECANICO DE MANUTENCAO DE MAQUINAS,EM GERAL","911305","4","18"
2353,"MECANICO DE MANUTENCAO DE MAQUINAS GRAFICAS","911310","4","18"
2354,"MECANICO DE MANUTENCAO DE MAQUINAS OPERATRIZES (LAVRA DE MADEIRA)","911315","4","18"
2355,"MECANICO DE MANUTENCAO DE MAQUINAS TEXTEIS","911320","4","18"
2356,"MECANICO DE MANUTENCAO DE MAQUINAS-FERRAMENTAS (USINAGEM DE METAIS)","911325","4","18"
2357,"MECANICO DE MANUTENCAO DE APARELHOS DE LEVANTAMENTO","913105","3","18"
2358,"MECANICO DE MANUTENCAO DE EQUIPAMENTO DE MINERACAO","913110","3","18"
2359,"MECANICO DE MANUTENCAO DE MAQUINAS AGRICOLAS","913115","3","18"
2360,"MECANICO DE MANUTENCAO DE MAQUINAS DE CONSTRUCAO E TERRAPLENAGEM","913120","3","18"
2361,"MECANICO DE MANUTENCAO DE AERONAVES,EM GERAL","914105","4","18"
2363,"MECANICO DE MANUTENCAO DE MOTORES E EQUIPAMENTOS NAVAIS","914205","4","18"
2364,"MECANICO DE MANUTENCAO DE VEICULOS FERROVIARIOS","914305","3","18"
2365,"MECANICO DE MANUTENCAO DE AUTOMOVEIS,MOTOCICLETAS E VEICULOS SIMILARES","914405","4","16"
2366,"MECANICO DE MANUTENCAO DE EMPILHADEIRAS E OUTROS VEICULOS DE CARGAS LEVES","914410","4","16"
2367,"MECANICO DE MANUTENCAO DE MOTOCICLETAS","914415","4","16"
2368,"MECANICO DE MANUTENCAO DE TRATORES","914420","4","16"
2369,"MECANICO DE VEICULOS AUTOMOTORES A DIESEL (EXCETO TRATORES)","914425","4","16"
2370,"TECNICO EM MANUTENCAO DE INSTRUMENTOS DE MEDICAO E PRECISAO","915105","4","16"
2371,"TECNICO EM MANUTENCAO DE HIDROMETROS","915110","4","16"
2372,"TECNICO EM MANUTENCAO DE BALANCAS","915115","4","16"
2373,"RESTAURADOR DE INSTRUMENTOS MUSICAIS (EXCETO CORDAS ARCADAS)","915205","3","10"
2374,"REPARADOR DE INSTRUMENTOS MUSICAIS","915210","3","10"
2375,"LUTHIER (RESTAURACAO DE CORDAS ARCADAS)","915215","3","10"
2376,"TECNICO EM MANUTENCAO DE EQUIPAMENTOS E INSTRUMENTOS MEDICO-HOSPITALARES","915305","4","16"
2377,"REPARADOR DE EQUIPAMENTOS FOTOGRAFICOS","915405","4","16"
2378,"LUBRIFICADOR INDUSTRIAL","919105","3","18"
2379,"LUBRIFICADOR DE VEICULOS AUTOMOTORES (EXCETO EMBARCACOES)","919110","3","16"
2380,"LUBRIFICADOR DE EMBARCACOES","919115","3","16"
2381,"MECANICO DE MANUTENCAO DE MAQUINAS CORTADORAS DE GRAMA,ROCADEIRAS,MOTOSSERRAS E SIMILARES","919205","3","16"
2382,"MECANICO DE MANUTENCAO DE APARELHOS ESPORTIVOS E DE GINASTICA","919305","4","16"
2383,"MECANICO DE MANUTENCAO DE BICICLETAS E VEICULOS SIMILARES","919310","2","10"
2384,"MONTADOR DE BICICLETAS","919315","2","10"
2385,"SUPERVISOR DE MANUTENCAO ELETRICA DE ALTA TENSAO INDUSTRIAL","950105","4","18"
2386,"SUPERVISOR DE MANUTENCAO ELETROMECANICA INDUSTRIAL,COMERCIAL E PREDIAL","950110","4","18"
2387,"ENCARREGADO DE MANUTENCAO ELETRICA DE VEICULOS","950205","4","18"
2388,"SUPERVISOR DE MANUTENCAO ELETROMECANICA","950305","4","18"
2389,"ELETRICISTA DE MANUTENCAO ELETROELETRONICA","951105","4","18"
2390,"INSTALADOR DE SISTEMAS ELETROELETRONICOS DE SEGURANCA","951305","4","18"
2391,"MANTENEDOR DE SISTEMAS ELETROELETRONICOS DE SEGURANCA","951310","4","18"
2392,"ELETRICISTA DE INSTALACOES (AERONAVES)","953105","3","18"
2393,"ELETRICISTA DE INSTALACOES (EMBARCACOES)","953110","3","18"
2394,"ELETRICISTA DE INSTALACOES (VEICULOS AUTOMOTORES E MAQUINAS OPERATRIZES,EXCETO AERONAVES E EMBARCAC","953115","3","18"
2395,"ELETROMECANICO DE MANUTENCAO DE ELEVADORES","954105","3","18"
2396,"ELETROMECANICO DE MANUTENCAO DE ESCADAS ROLANTES","954110","3","18"
2397,"ELETROMECANICO DE MANUTENCAO DE PORTAS AUTOMATICAS","954115","3","18"
2398,"MECANICO DE MANUTENCAO DE INSTALACOES MECANICAS DE EDIFICIOS","954120","3","18"
2399,"OPERADOR ELETROMECANICO","954125","3","18"
2400,"REPARADOR DE APARELHOS ELETRODOMESTICOS (EXCETO IMAGEM E SOM)","954205","2","18"
2401,"REPARADOR DE RADIO,TV E SOM","954210","2","16"
2402,"REPARADOR DE EQUIPAMENTOS DE ESCRITORIO","954305","3","16"
